"go_id","pval","padj_within_ranking","log2err","ES","NES","size","leadingEdge","main_pathway","TERM","ONTOLOGY","ranking","direction","n_directional_pairs","pair_consistency","pair_median_effects","padj_global"
"GO:0006139",0.00671984220956443,0.0439029691024876,0.407017918923954,0.657251404827221,1.59750080868183,28,"HOG:0032903;HOG:0025959;HOG:0032904;HOG:0026742;HOG:0027918;HOG:0011541;HOG:0003561;HOG:0006139;HOG:0005683",FALSE,"nucleobase-containing compound metabolic process","BP","root_mean_activity","annual",2,0.5,"Brachypodium=0.09251;Hordeum=0.06167;Briza=-0.001704;Festuca/Vulpia=-0.02306",0.0838147591956582
"GO:0016070",0.00728065952793101,0.0445940396085774,0.407017918923954,0.753424027591638,1.64242442640624,14,"HOG:0032903;HOG:0025959;HOG:0032904;HOG:0026742;HOG:0027918;HOG:0011541;HOG:0006139;HOG:0005683",FALSE,"RNA metabolic process","BP","root_mean_activity","annual",3,0.75,"Brachypodium=0.465;Hordeum=0.1112;Briza=0.004762;Festuca/Vulpia=-0.03613",0.0843031533854956
"GO:0032774",0.00319319247566246,0.0447046946592744,0.431707695803346,0.844248006370227,1.5422055044312,11,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0032903",FALSE,"RNA biosynthetic process","BP","root_early_to_late","annual",3,0.75,"Brachypodium=1.465;Hordeum=0.08432;Briza=-0.8239;Festuca/Vulpia=1.134",0.0507860496153224
"GO:0141187",0.00319319247566246,0.0447046946592744,0.431707695803346,0.844248006370227,1.5422055044312,11,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0026742;HOG:0032903",FALSE,"nucleic acid biosynthetic process","BP","root_early_to_late","annual",3,0.75,"Brachypodium=1.465;Hordeum=0.08432;Briza=-0.8239;Festuca/Vulpia=1.134",0.0507860496153224
"GO:0006139",0.0160345975478201,0.0604380984494756,0.352487857583619,0.557737336841108,1.60003557927227,28,"HOG:0032904;HOG:0032903;HOG:0026742;HOG:0005683;HOG:0025959;HOG:0026637;HOG:0027918;HOG:0024562;HOG:0011541",FALSE,"nucleobase-containing compound metabolic process","BP","leaf_early_to_late","annual",2,0.5,"Brachypodium=0.2013;Hordeum=0.03001;Briza=-0.04126;Festuca/Vulpia=-0.1547",0.148645052943305
"GO:0008270",0.00753703004582448,0.0753908258239705,0.407017918923954,0.804621314675016,1.50703227320518,13,"HOG:0028145;HOG:0027918;HOG:0025149;HOG:0021825;HOG:0006332;HOG:0025959;HOG:0028333",FALSE,"zinc ion binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.9762;Hordeum=-0.08426;Briza=-0.6512;Festuca/Vulpia=1.134",0.0843031533854956
"GO:0043227",0.00769294141060923,0.0753908258239705,0.407017918923954,0.743026855630992,1.48217344199847,23,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0032903;HOG:0026902;HOG:0010929",FALSE,"membrane-bounded organelle","CC","root_early_to_late","annual",3,0.75,"Brachypodium=1.387;Hordeum=0.06088;Briza=-0.2997;Festuca/Vulpia=0.01596",0.0843031533854956
"GO:0043231",0.00769294141060923,0.0753908258239705,0.407017918923954,0.743026855630992,1.48217344199847,23,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0032903;HOG:0026902;HOG:0010929",FALSE,"intracellular membrane-bounded organelle","CC","root_early_to_late","annual",3,0.75,"Brachypodium=1.387;Hordeum=0.06088;Briza=-0.2997;Festuca/Vulpia=0.01596",0.0843031533854956
"GO:0046914",0.00855762172843142,0.0762406299442071,0.380730400722792,0.77981472860768,1.49386576507693,16,"HOG:0028145;HOG:0027918;HOG:0025149;HOG:0021825;HOG:0006332;HOG:0025959;HOG:0028333",FALSE,"transition metal ion binding","MF","root_early_to_late","annual",2,0.5,"Brachypodium=0.4459;Hordeum=-0.0695;Briza=-0.397;Festuca/Vulpia=0.5942",0.0876198284433426
"GO:0005634",0.0100627144064338,0.0821788343192091,0.380730400722792,0.796685994616288,1.49216964999522,13,"HOG:0032904;HOG:0027918;HOG:0005683;HOG:0011541;HOG:0025923;HOG:0025959;HOG:0032903",FALSE,"nucleus","CC","root_early_to_late","annual",3,0.75,"Brachypodium=1.615;Hordeum=0.02994;Briza=-0.6955;Festuca/Vulpia=0.6478",0.101515030629611
