"anchor_id","metric","anchor_hog","metric_type","statistic_orientation","concordant_mean","discordant_mean","signed_statistic","p_value","p_min","p_attainable","rank_from_top","n_tied_observed","n_tied_max","n_distinct_statistics","n_labellings","global_flip_multiplicity","blocked_label_space","blocked_p_min","blocked_p_attainable_at_best","blocked_p_below_0.05_attainable","q_bh","within_phylogenetic_pair_median"
"anchor_05","matched_edge_mean_abs_log_threshold_distance","HOG:0006205","distance","discordant_minus_concordant",0.014763183291588,0.0146988904854792,-6.42928061088434e-05,0.6,0.0142857142857143,0.0285714285714286,42,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0153085606982265
"anchor_06","neighborhood_jaccard","HOG:0028766","similarity","concordant_minus_discordant",0.610719946769839,0.60347653780166,0.00724340896817921,0.285714285714286,0.0142857142857143,0.0285714285714286,20,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.602610094012865
"anchor_06","module_edge_jaccard","HOG:0028766","similarity","concordant_minus_discordant",0.72295119556615,0.720250078634979,0.0027011169311717,0.342857142857143,0.0142857142857143,0.0285714285714286,24,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.729172506156227
"anchor_06","matched_edge_correlation","HOG:0028766","similarity","concordant_minus_discordant",0.294694567701184,0.301674697422417,-0.00698012972123258,0.771428571428571,0.0142857142857143,0.0285714285714286,54,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.3011128698455
"anchor_06","matched_edge_mean_abs_log_threshold_distance","HOG:0028766","distance","discordant_minus_concordant",0.0148357266170981,0.0147871395531315,-4.85870639665882e-05,0.457142857142857,0.0142857142857143,0.0285714285714286,32,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.0152771091156758
"anchor_07","neighborhood_jaccard","HOG:0011862","similarity","concordant_minus_discordant",0.578576913144268,0.584310595399361,-0.00573368225509374,0.771428571428571,0.0142857142857143,0.0285714285714286,54,2,2,35,70,2,16,0.0625,0.125,FALSE,0.903135888501742,0.584494773519164
"anchor_07","module_edge_jaccard","HOG:0011862","similarity","concordant_minus_discordant",0.746259304252975,0.742766902988955,0.00349240126401995,0.285714285714286,0.0142857142857143,0.0285714285714286,20,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.746376710051212
"anchor_07","matched_edge_correlation","HOG:0011862","similarity","concordant_minus_discordant",0.298758429461265,0.311002972653291,-0.0122445431920253,0.914285714285714,0.0142857142857143,0.0285714285714286,64,2,2,35,70,2,16,0.0625,0.125,FALSE,0.914285714285714,0.300500961719672
"anchor_07","matched_edge_mean_abs_log_threshold_distance","HOG:0011862","distance","discordant_minus_concordant",0.0148305363365702,0.0146791540573091,-0.000151382279261161,0.542857142857143,0.0142857142857143,0.0285714285714286,38,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.015170286012431
"anchor_08","neighborhood_jaccard","HOG:0006123","similarity","concordant_minus_discordant",0.602319663095544,0.600538594525874,0.00178106856966975,0.4,0.0142857142857143,0.0285714285714286,28,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.620873759339801
"anchor_08","module_edge_jaccard","HOG:0006123","similarity","concordant_minus_discordant",0.743419876987962,0.738942362066306,0.00447751492165582,0.114285714285714,0.0142857142857143,0.0285714285714286,8,2,2,35,70,2,16,0.0625,0.125,FALSE,0.847058823529412,0.743808853048786
