"anchor_id","anchor_hog","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_02","HOG:0020076","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.92729798444156,0.739615272667442,0.187682711774117
"anchor_02","HOG:0020076","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.862441746125227,0.964184779965976,-0.101743033840749
"anchor_02","HOG:0020076","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.891884337298578,0.914967053647288,-0.0230827163487103
"anchor_02","HOG:0020076","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.868277708390753,0.952985195324373,-0.0847074869336203
"anchor_02","HOG:0020076","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.779898218829516,0.684636118598383,0.0952621002311337
"anchor_02","HOG:0020076","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.747034519525523,0.834370974667239,-0.0873364551417161
"anchor_02","HOG:0020076","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Briza","BMAX","BMED",0.739782527184102,0.799880739415623,-0.0600982122315211
"anchor_02","HOG:0020076","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Festuca/Vulpia","VBRO","FPRA",0.720692368214005,0.843449419568823,-0.122757051354818
"anchor_02","HOG:0020076","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Brachypodium","BDIS","BSYL",1,1,0
"anchor_02","HOG:0020076","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Hordeum","HVUL","HJUB",1,1,0
"anchor_02","HOG:0020076","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Briza","BMAX","BMED",1,1,0
"anchor_02","HOG:0020076","largest_component_fraction","fraction of resolved HOGs in the largest connected component","Festuca/Vulpia","VBRO","FPRA",1,1,0
"anchor_03","HOG:0011532","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Brachypodium","BDIS","BSYL",0.816326530612245,0.707482993197279,0.108843537414966
"anchor_03","HOG:0011532","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Hordeum","HVUL","HJUB",0.748299319727891,0.952380952380952,-0.204081632653061
"anchor_03","HOG:0011532","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Briza","BMAX","BMED",0.72108843537415,0.91156462585034,-0.19047619047619
"anchor_03","HOG:0011532","recurrent_coverage","fraction of recurrent HOGs resolved as anchor neighbors","Festuca/Vulpia","VBRO","FPRA",0.795918367346939,0.965986394557823,-0.170068027210884
"anchor_03","HOG:0011532","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Brachypodium","BDIS","BSYL",0.840356830863572,0.72475367323201,0.115603157631562
"anchor_03","HOG:0011532","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Hordeum","HVUL","HJUB",0.769323447124763,0.982107178374311,-0.212783731249547
"anchor_03","HOG:0011532","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Briza","BMAX","BMED",0.740552201674545,0.942304241049549,-0.201752039375004
"anchor_03","HOG:0011532","anchor_module_mean_strength_ratio","mean threshold-normalized anchor strength over present recurrent HOGs","Festuca/Vulpia","VBRO","FPRA",0.81611097970507,1.00479092537004,-0.188679945664975
"anchor_03","HOG:0011532","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Brachypodium","BDIS","BSYL",0.816666666666667,0.67083644510829,0.145830221558377
"anchor_03","HOG:0011532","internal_edge_density","edge density among anchor-resolved recurrent-HOG copies","Hordeum","HVUL","HJUB",0.760133444537114,0.818807810894142,-0.0586743663570275
