"anchor_id","anchor_hog","tissue","feature","interpretation","phylogenetic_pair","annual_species","perennial_species","annual_value","perennial_value","annual_minus_perennial"
"anchor_07","HOG:0011862","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.830635172899305,0.791757052729257,0.0388781201700487
"anchor_07","HOG:0011862","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.137662049944691,-0.302903168764538,0.165241118819847
"anchor_07","HOG:0011862","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.562380127762846,-0.148201069700002,-0.414179058062844
"anchor_07","HOG:0011862","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.190788712082886,-0.146404633795581,-0.0443840782873051
"anchor_07","HOG:0011862","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.277345820752642,-0.273478231786191,-0.00386758896645056
"anchor_07","HOG:0011862","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.669375814508159,-0.688040538093277,0.0186647235851182
"anchor_07","HOG:0011862","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.630761418330384,-0.698161160400939,0.0673997420705547
"anchor_07","HOG:0011862","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.640829598353945,-0.638342779046157,-0.00248681930778805
"anchor_07","HOG:0011862","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.626753241223157,-0.633212006427073,0.00645876520391597
"anchor_07","HOG:0011862","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0504646854777907,-0.0212828312946323,0.071747516772423
"anchor_07","HOG:0011862","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0176292757793297,0.0624207513948247,-0.044791475615495
"anchor_07","HOG:0011862","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.115833606863444,-0.0538537150560843,0.169687321919528
"anchor_07","HOG:0011862","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0152055545211393,0.00634194315754777,0.00886361136359148
"anchor_08","HOG:0006123","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.70650459453289,0.713249542265168,-0.00674494773227785
"anchor_08","HOG:0006123","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.799967680717919,0.687074750713928,0.11289293000399
"anchor_08","HOG:0006123","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.75383259434115,0.7382055793641,0.0156270149770501
"anchor_08","HOG:0006123","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.777906157950816,0.777986454754601,-8.02968037854068e-05
"anchor_08","HOG:0006123","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.114589799442937,-0.258099729875814,0.143509930432877
"anchor_08","HOG:0006123","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.509959330858344,-0.111497376360369,-0.398461954497975
"anchor_08","HOG:0006123","leaf","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",-0.158797855342797,-0.141631170302027,-0.0171666850407691
"anchor_08","HOG:0006123","leaf","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",-0.24438265163454,-0.246029941083888,0.00164728944934833
"anchor_08","HOG:0006123","root","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",-0.674723781578945,-0.696034691825739,0.0213109102467935
"anchor_08","HOG:0006123","root","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",-0.64619201928455,-0.709792480673095,0.0636004613885444
"anchor_08","HOG:0006123","root","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",-0.653550234205717,-0.635745798045942,-0.0178044361597748
"anchor_08","HOG:0006123","root","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",-0.652622927020672,-0.646335719473722,-0.00628720754694934
"anchor_08","HOG:0006123","root","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",0.0502483586387822,-0.00556110529405196,0.0558094639328341
"anchor_08","HOG:0006123","root","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",0.0165180007793412,0.0657627716703687,-0.0492447708910275
"anchor_08","HOG:0006123","root","early_to_late","last minus first matched time-point module activity","Briza","BMAX","BMED",0.0880704501324598,-0.0377052102364164,0.125775660368876
"anchor_08","HOG:0006123","root","early_to_late","last minus first matched time-point module activity","Festuca/Vulpia","VBRO","FPRA",0.0407736696173342,-0.00133295184904791,0.0421066214663821
"anchor_09","HOG:0029484","leaf","mean_activity","equal-time-point mean module activity within tissue","Brachypodium","BDIS","BSYL",0.736303732012259,0.769766428180406,-0.0334626961681467
"anchor_09","HOG:0029484","leaf","mean_activity","equal-time-point mean module activity within tissue","Hordeum","HVUL","HJUB",0.842014240788956,0.706988961284878,0.135025279504078
"anchor_09","HOG:0029484","leaf","mean_activity","equal-time-point mean module activity within tissue","Briza","BMAX","BMED",0.802776771400115,0.754825900597632,0.0479508708024833
"anchor_09","HOG:0029484","leaf","mean_activity","equal-time-point mean module activity within tissue","Festuca/Vulpia","VBRO","FPRA",0.871531780596817,0.784379542714745,0.0871522378820718
"anchor_09","HOG:0029484","leaf","early_to_late","last minus first matched time-point module activity","Brachypodium","BDIS","BSYL",-0.168083306755457,-0.351817548348754,0.183734241593297
"anchor_09","HOG:0029484","leaf","early_to_late","last minus first matched time-point module activity","Hordeum","HVUL","HJUB",-0.599101865317828,-0.190963348953357,-0.408138516364471
