"anchor_id","anchor_hog","species1","species2","neighborhood_jaccard","n_matched_module_edges","n_informative_module_edges","n_shared_present_edges","module_edge_jaccard","matched_edge_correlation","matched_edge_mean_abs_log_threshold_distance","enough_edges_for_correlation"
"anchor_04","HOG:0019394","BDIS","HJUB",0.623809523809524,8128,7532,5702,0.757036643653744,0.359089768818418,0.0140932276883202,TRUE
"anchor_04","HOG:0019394","BDIS","BMAX",0.661111111111111,6903,6267,4596,0.73336524652944,0.368060765878416,0.0138378944705604,TRUE
"anchor_04","HOG:0019394","BDIS","BMED",0.635416666666667,7021,6582,4958,0.753266484351261,0.341564518880543,0.0148284483727462,TRUE
"anchor_04","HOG:0019394","BDIS","VBRO",0.595375722543353,5253,4967,3800,0.765049325548621,0.273042665494029,0.0151296580315669,TRUE
"anchor_04","HOG:0019394","BDIS","FPRA",0.658415841584158,8001,7489,5679,0.75831219121378,0.367673488275229,0.0149141238368314,TRUE
"anchor_04","HOG:0019394","BSYL","HVUL",0.552941176470588,4371,3939,2496,0.633663366336634,0.234743250943592,0.0147004588059239,TRUE
"anchor_04","HOG:0019394","BSYL","HJUB",0.492753623188406,5050,4775,3250,0.680628272251309,0.193595609778675,0.0154977547710124,TRUE
"anchor_04","HOG:0019394","BSYL","BMAX",0.543352601156069,4371,4001,2587,0.646588352911772,0.163938829736188,0.0153359481567842,TRUE
"anchor_04","HOG:0019394","BSYL","BMED",0.524324324324324,4560,4297,2900,0.674889457761229,0.232061365364563,0.0164008504092648,TRUE
"anchor_04","HOG:0019394","BSYL","VBRO",0.534591194968553,3570,3324,2330,0.700962695547533,0.258126524739115,0.0135332833854329,TRUE
"anchor_04","HOG:0019394","BSYL","FPRA",0.507462686567164,4950,4704,3120,0.663265306122449,0.222769368044661,0.0178801341961659,TRUE
"anchor_04","HOG:0019394","HVUL","HJUB",0.618811881188119,7503,6916,4784,0.691729323308271,0.250928445316733,0.0150728877493136,TRUE
"anchor_04","HOG:0019394","HVUL","BMAX",0.696428571428571,6670,5975,4056,0.678828451882845,0.281108412823326,0.0144915136725712,TRUE
"anchor_04","HOG:0019394","HVUL","BMED",0.666666666666667,6670,6199,4210,0.679141797064043,0.290047426206571,0.0151689290003712,TRUE
"anchor_04","HOG:0019394","HVUL","VBRO",0.627329192546584,4950,4556,3300,0.7243195785777,0.320412035616171,0.0134123745003929,TRUE
"anchor_04","HOG:0019394","HVUL","FPRA",0.637755102040816,7503,6986,4755,0.680647008302319,0.304140198350457,0.0157385128524468,TRUE
"anchor_04","HOG:0019394","HJUB","BMAX",0.633663366336634,8128,7433,5251,0.706444235167496,0.323105893119041,0.0141406925079557,TRUE
"anchor_04","HOG:0019394","HJUB","BMED",0.627358490566038,8128,7609,5752,0.755946904980944,0.315956683060706,0.0142845767071141,TRUE
"anchor_04","HOG:0019394","HJUB","VBRO",0.574358974358974,5995,5736,4465,0.778417015341701,0.295447013557633,0.0143409027615149,TRUE
"anchor_04","HOG:0019394","HJUB","FPRA",0.656108597285068,9180,8485,6443,0.759340011785504,0.346341644171843,0.0144351198764497,TRUE
"anchor_04","HOG:0019394","BMAX","BMED",0.664835164835165,7021,6458,4623,0.715856302260762,0.31178365283148,0.0147183510183842,TRUE
"anchor_04","HOG:0019394","BMAX","VBRO",0.615853658536585,5050,4742,3645,0.7686630113876,0.312253331902334,0.0135912945723782,TRUE
"anchor_04","HOG:0019394","BMAX","FPRA",0.653061224489796,7750,7176,5113,0.712513935340022,0.327718608319889,0.0154278450628337,TRUE
"anchor_04","HOG:0019394","BMED","VBRO",0.609195402298851,5356,5043,3862,0.765813999603411,0.348575763691701,0.014190321650681,TRUE
"anchor_04","HOG:0019394","BMED","FPRA",0.661764705882353,8128,7561,5834,0.77159105938368,0.421480312658396,0.0138750469127582,TRUE
"anchor_04","HOG:0019394","VBRO","FPRA",0.567708333333333,5565,5265,4177,0.79335232668566,0.403106017754416,0.0150747550074526,TRUE
"anchor_05","HOG:0006205","BDIS","BSYL",0.538461538461538,3655,3463,2282,0.658966214265088,0.244345403671456,0.0160621511912906,TRUE
"anchor_05","HOG:0006205","BDIS","HVUL",0.549707602339181,4278,4051,3003,0.741298444828437,0.271809469371432,0.0151214272668241,TRUE
"anchor_05","HOG:0006205","BDIS","HJUB",0.54228855721393,5460,5288,4414,0.834720121028744,0.35654598210622,0.0139306385652051,TRUE
"anchor_05","HOG:0006205","BDIS","BMAX",0.579881656804734,4560,4308,3424,0.794800371402043,0.390373527485137,0.0135214442796826,TRUE
"anchor_05","HOG:0006205","BDIS","BMED",0.535135135135135,4753,4515,3623,0.802436323366556,0.358927221864679,0.0144413961137289,TRUE
"anchor_05","HOG:0006205","BDIS","VBRO",0.614035087719298,5050,4748,3525,0.742417860151643,0.298127186682817,0.0152412695750167,TRUE
"anchor_05","HOG:0006205","BDIS","FPRA",0.547738693467337,5460,5257,4358,0.828989918204299,0.390019345689765,0.0143451833304903,TRUE
"anchor_05","HOG:0006205","BSYL","HVUL",0.505813953488372,3655,3261,1899,0.582336706531739,0.257702452082197,0.0146090892576322,TRUE
"anchor_05","HOG:0006205","BSYL","HJUB",0.512437810945274,4950,4684,3032,0.64730999146029,0.190981651917516,0.0153853557653816,TRUE
"anchor_05","HOG:0006205","BSYL","BMAX",0.482954545454545,3486,3262,1997,0.612201103617413,0.196453086156184,0.0155663746024017,TRUE
"anchor_05","HOG:0006205","BSYL","BMED",0.553072625698324,4371,4044,2543,0.628832838773492,0.23025325628452,0.0162831099241973,TRUE
"anchor_05","HOG:0006205","BSYL","VBRO",0.525423728813559,4278,3867,2394,0.619084561675718,0.25585081786029,0.0135596248567415,TRUE
