"anchor_id","anchor_hog","species1","species2","scope","comparison_type","n_matched_contexts","deployment_correlation","deployment_mean_abs_distance"
"anchor_02","HOG:0020076","HVUL","HJUB","root","tissue_specific",5,0.126964760959806,0.0639528653564021
"anchor_02","HOG:0020076","HVUL","HJUB","within_tissue_centered","combined_sensitivity",10,0.699062269588354,0.0705666710336266
"anchor_02","HOG:0020076","HVUL","BMAX","leaf","tissue_specific",5,0.685439793089576,0.10524050666242
"anchor_02","HOG:0020076","HVUL","BMAX","root","tissue_specific",5,0.271886394955958,0.0554706675168041
"anchor_02","HOG:0020076","HVUL","BMAX","within_tissue_centered","combined_sensitivity",10,0.630252996747498,0.0849519521760429
"anchor_02","HOG:0020076","HVUL","BMED","leaf","tissue_specific",5,0.672629689265438,0.111333418978428
"anchor_02","HOG:0020076","HVUL","BMED","root","tissue_specific",5,0.0399546183864234,0.0465789396136429
"anchor_02","HOG:0020076","HVUL","BMED","within_tissue_centered","combined_sensitivity",10,0.616936713355065,0.0772402360251473
"anchor_02","HOG:0020076","HVUL","VBRO","leaf","tissue_specific",5,0.849591570432889,0.082412677515858
"anchor_02","HOG:0020076","HVUL","VBRO","root","tissue_specific",5,-0.549793487502825,0.052154874429617
"anchor_02","HOG:0020076","HVUL","VBRO","within_tissue_centered","combined_sensitivity",10,0.749075407067948,0.0686564113872425
"anchor_02","HOG:0020076","HVUL","FPRA","leaf","tissue_specific",5,0.948024272513735,0.0757585411926474
"anchor_02","HOG:0020076","HVUL","FPRA","root","tissue_specific",5,0.933941780187489,0.0286387636677063
"anchor_02","HOG:0020076","HVUL","FPRA","within_tissue_centered","combined_sensitivity",10,0.940326423240758,0.054389857457175
"anchor_02","HOG:0020076","HJUB","BMAX","leaf","tissue_specific",5,0.945096923204148,0.0877835039278297
"anchor_02","HOG:0020076","HJUB","BMAX","root","tissue_specific",5,0.739430088449953,0.056936780881932
"anchor_02","HOG:0020076","HJUB","BMAX","within_tissue_centered","combined_sensitivity",10,0.903957939984007,0.0456106692671951
"anchor_02","HOG:0020076","HJUB","BMED","leaf","tissue_specific",5,0.489103405188877,0.0541134436781808
"anchor_02","HOG:0020076","HJUB","BMED","root","tissue_specific",5,-0.698753500033056,0.0622879314750983
"anchor_02","HOG:0020076","HJUB","BMED","within_tissue_centered","combined_sensitivity",10,0.310098976669503,0.0489328822742166
"anchor_02","HOG:0020076","HJUB","VBRO","leaf","tissue_specific",5,0.972920406089451,0.131263796223796
"anchor_02","HOG:0020076","HJUB","VBRO","root","tissue_specific",5,-0.398050670321458,0.0702307048951104
"anchor_02","HOG:0020076","HJUB","VBRO","within_tissue_centered","combined_sensitivity",10,0.7855178247514,0.0455113228435312
"anchor_02","HOG:0020076","HJUB","FPRA","leaf","tissue_specific",5,0.790939746440658,0.112444788031433
"anchor_02","HOG:0020076","HJUB","FPRA","root","tissue_specific",5,0.0690669167426406,0.0718171773713763
"anchor_02","HOG:0020076","HJUB","FPRA","within_tissue_centered","combined_sensitivity",10,0.696277794904565,0.0374091555655946
"anchor_02","HOG:0020076","BMAX","BMED","leaf","tissue_specific",5,0.570764118644772,0.0915981126100154
"anchor_02","HOG:0020076","BMAX","BMED","root","tissue_specific",5,-0.946291914894597,0.0531279919164585
"anchor_02","HOG:0020076","BMAX","BMED","within_tissue_centered","combined_sensitivity",10,0.37088774286644,0.0637906423508743
"anchor_02","HOG:0020076","BMAX","VBRO","leaf","tissue_specific",5,0.880806246468324,0.0511344947132869
"anchor_02","HOG:0020076","BMAX","VBRO","root","tissue_specific",5,-0.00690782392808209,0.0550275204459917
"anchor_02","HOG:0020076","BMAX","VBRO","within_tissue_centered","combined_sensitivity",10,0.774046981455715,0.0525943342075942
"anchor_02","HOG:0020076","BMAX","FPRA","leaf","tissue_specific",5,0.777003649600577,0.065626877794581
"anchor_02","HOG:0020076","BMAX","FPRA","root","tissue_specific",5,0.440290541503039,0.0382909582836905
"anchor_02","HOG:0020076","BMAX","FPRA","within_tissue_centered","combined_sensitivity",10,0.72715236088765,0.0471252620857059
"anchor_02","HOG:0020076","BMED","VBRO","leaf","tissue_specific",5,0.395510146547304,0.123909978767303
"anchor_02","HOG:0020076","BMED","VBRO","root","tissue_specific",5,-0.237465554895656,0.0392997317693885
"anchor_02","HOG:0020076","BMED","VBRO","within_tissue_centered","combined_sensitivity",10,0.34437879034436,0.0603411404905968
"anchor_02","HOG:0020076","BMED","FPRA","leaf","tissue_specific",5,0.78508615951808,0.0693779895954182
"anchor_02","HOG:0020076","BMED","FPRA","root","tissue_specific",5,-0.157822818928197,0.0219094665658295
"anchor_02","HOG:0020076","BMED","FPRA","within_tissue_centered","combined_sensitivity",10,0.728203958422405,0.0314360046448244
"anchor_02","HOG:0020076","VBRO","FPRA","leaf","tissue_specific",5,0.811826061471367,0.0625911186569501
"anchor_02","HOG:0020076","VBRO","FPRA","root","tissue_specific",5,-0.343635323232411,0.0316708280849853
"anchor_02","HOG:0020076","VBRO","FPRA","within_tissue_centered","combined_sensitivity",10,0.760437972589035,0.0432434728598997
"anchor_03","HOG:0011532","BDIS","BSYL","leaf","tissue_specific",5,0.890980342160699,0.0599103296509845
