"anchor_id","anchor_hog","species","tissue","n_time_points","mean_activity","early_to_late","early_day","late_day"
"anchor_05","HOG:0006205","FPRA","leaf",5,0.778356069766428,-0.242380828215697,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","FPRA","root",5,-0.641743574619068,-0.00623074787707278,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","HJUB","leaf",5,0.687889229554158,-0.109972239267047,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","HJUB","root",5,-0.697541310930293,0.049236770654473,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","HVUL","leaf",5,0.842868835135371,-0.559549216186269,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","HVUL","root",5,-0.633740418711995,-2.62160214107299e-05,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","VBRO","leaf",5,0.759843824068435,-0.262512833293395,7.47957433613505,56.4998699010652
"anchor_05","HOG:0006205","VBRO","root",5,-0.658280385179342,0.0469932941389613,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BDIS","leaf",5,0.707556222585712,-0.117762548052693,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BDIS","root",5,-0.662022484633241,0.0350563284656262,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BMAX","leaf",5,0.807009811865875,-0.224045407813253,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BMAX","root",5,-0.629704209582652,0.0851789366483446,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BMED","leaf",5,0.744257579639626,-0.142393666637116,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BMED","root",5,-0.632845655403265,-0.0279385119956281,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BSYL","leaf",5,0.763441505889882,-0.332187285492485,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","BSYL","root",5,-0.681700638489744,-0.168118370121296,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","FPRA","leaf",5,0.797767791628078,-0.266760295564574,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","FPRA","root",5,-0.629751777152472,-0.00268333189035486,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","HJUB","leaf",5,0.710150236604459,-0.168245154270315,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","HJUB","root",5,-0.682262230398321,0.0469493760683923,7.47957433613505,56.4998699010652
"anchor_06","HOG:0028766","HVUL","leaf",5,0.839293083702094,-0.546062403734004,7.47957433613505,56.4998699010652
