"anchor_id","anchor_hog","tissue","feature","interpretation","median_annual_minus_perennial","n_annual_higher","n_perennial_higher","n_equal","majority_direction","n_agreeing_with_majority","pair_consistency","absolute_median_contrast","discovery_rank"
"anchor_90","HOG:0032320","leaf","mean_activity","equal-time-point mean module activity within tissue",0.06059480144463,4,0,0,"annual_higher",4,1,0.06059480144463,83
"anchor_217","HOG:0025124","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0603214773996028,0,4,0,"perennial_higher",4,1,0.0603214773996028,84
"anchor_149","HOG:0032060","root","mean_activity","equal-time-point mean module activity within tissue",-0.0602250781313936,0,4,0,"perennial_higher",4,1,0.0602250781313936,85
"anchor_118","HOG:0028661","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0596812158136734,0,4,0,"perennial_higher",4,1,0.0596812158136734,86
"anchor_332","HOG:0028850","root","mean_activity","equal-time-point mean module activity within tissue",-0.0593204219363608,0,4,0,"perennial_higher",4,1,0.0593204219363608,87
"anchor_94","HOG:0008605","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0591179908211333,0,4,0,"perennial_higher",4,1,0.0591179908211333,88
"anchor_254","HOG:0024990","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0591048800884584,0,4,0,"perennial_higher",4,1,0.0591048800884584,89
"anchor_196","HOG:0006523","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0575470196600397,0,4,0,"perennial_higher",4,1,0.0575470196600397,90
"anchor_332","HOG:0028850","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0574763362701294,0,4,0,"perennial_higher",4,1,0.0574763362701294,91
"anchor_116","HOG:0023564","root","mean_activity","equal-time-point mean module activity within tissue",-0.0560147963455058,0,4,0,"perennial_higher",4,1,0.0560147963455058,92
"anchor_138","HOG:0025231","root","mean_activity","equal-time-point mean module activity within tissue",0.0555427764022945,4,0,0,"annual_higher",4,1,0.0555427764022945,93
"anchor_118","HOG:0028661","root","mean_activity","equal-time-point mean module activity within tissue",-0.054279182521771,0,4,0,"perennial_higher",4,1,0.054279182521771,94
"anchor_94","HOG:0008605","root","mean_activity","equal-time-point mean module activity within tissue",-0.0520799187914837,0,4,0,"perennial_higher",4,1,0.0520799187914837,95
"anchor_315","HOG:0008733","root","mean_activity","equal-time-point mean module activity within tissue",0.049677371002122,4,0,0,"annual_higher",4,1,0.049677371002122,96
"anchor_62","HOG:0024791","root","mean_activity","equal-time-point mean module activity within tissue",0.0495643793342005,4,0,0,"annual_higher",4,1,0.0495643793342005,97
"anchor_320","HOG:0005833","root","mean_activity","equal-time-point mean module activity within tissue",0.0493527538595068,4,0,0,"annual_higher",4,1,0.0493527538595068,98
"anchor_67","HOG:0031129","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0488583566642178,4,0,0,"annual_higher",4,1,0.0488583566642178,99
"anchor_141","HOG:0026234","root","mean_activity","equal-time-point mean module activity within tissue",0.048804184354734,4,0,0,"annual_higher",4,1,0.048804184354734,100
"anchor_143","HOG:0006346","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0483837456377771,4,0,0,"annual_higher",4,1,0.0483837456377771,101
"anchor_191","HOG:0022918","root","mean_activity","equal-time-point mean module activity within tissue",-0.0479985819813767,0,4,0,"perennial_higher",4,1,0.0479985819813767,102
"anchor_213","HOG:0026073","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0475868096786273,0,4,0,"perennial_higher",4,1,0.0475868096786273,103
"anchor_78","HOG:0028720","root","mean_activity","equal-time-point mean module activity within tissue",0.0462093996528369,4,0,0,"annual_higher",4,1,0.0462093996528369,104
"anchor_90","HOG:0032320","root","mean_activity","equal-time-point mean module activity within tissue",0.0453920373935514,4,0,0,"annual_higher",4,1,0.0453920373935514,105
"anchor_87","HOG:0005589","root","mean_activity","equal-time-point mean module activity within tissue",0.0444376046346345,4,0,0,"annual_higher",4,1,0.0444376046346345,106
"anchor_76","HOG:0016566","root","mean_activity","equal-time-point mean module activity within tissue",0.0406791220533883,4,0,0,"annual_higher",4,1,0.0406791220533883,107
"anchor_205","HOG:0025863","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0386825539430736,4,0,0,"annual_higher",4,1,0.0386825539430736,108
"anchor_72","HOG:0029544","root","mean_activity","equal-time-point mean module activity within tissue",0.0377977960895554,4,0,0,"annual_higher",4,1,0.0377977960895554,109
"anchor_141","HOG:0026234","root","early_to_late","last minus first matched time-point module activity",0.0371785267647184,4,0,0,"annual_higher",4,1,0.0371785267647184,110
"anchor_240","HOG:0007813","root","mean_activity","equal-time-point mean module activity within tissue",0.0370044668606914,4,0,0,"annual_higher",4,1,0.0370044668606914,111
"anchor_291","HOG:0027706","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0360979095025745,0,4,0,"perennial_higher",4,1,0.0360979095025745,112
"anchor_84","HOG:0030062","root","mean_activity","equal-time-point mean module activity within tissue",0.0352206890181386,4,0,0,"annual_higher",4,1,0.0352206890181386,113
"anchor_12","HOG:0026770","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0347570867294009,4,0,0,"annual_higher",4,1,0.0347570867294009,114
"anchor_254","HOG:0024990","root","mean_activity","equal-time-point mean module activity within tissue",-0.0343810662486211,0,4,0,"perennial_higher",4,1,0.0343810662486211,115
"anchor_105","HOG:0027704","root","mean_activity","equal-time-point mean module activity within tissue",-0.0334386755437884,0,4,0,"perennial_higher",4,1,0.0334386755437884,116
"anchor_208","HOG:0027147","root","mean_activity","equal-time-point mean module activity within tissue",0.0325889714213146,4,0,0,"annual_higher",4,1,0.0325889714213146,117
"anchor_133","HOG:0020711","root","mean_activity","equal-time-point mean module activity within tissue",0.0323556576859934,4,0,0,"annual_higher",4,1,0.0323556576859934,118
"anchor_197","HOG:0006052","root","mean_activity","equal-time-point mean module activity within tissue",0.0315432126039306,4,0,0,"annual_higher",4,1,0.0315432126039306,119
"anchor_43","HOG:0006505","root","mean_activity","equal-time-point mean module activity within tissue",0.0311157531183298,4,0,0,"annual_higher",4,1,0.0311157531183298,120
"anchor_326","HOG:0031982","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.0301387912135092,0,4,0,"perennial_higher",4,1,0.0301387912135092,121
"anchor_26","HOG:0020311","root","mean_activity","equal-time-point mean module activity within tissue",0.0281825820122058,4,0,0,"annual_higher",4,1,0.0281825820122058,122
"anchor_57","HOG:0031653","root","mean_activity","equal-time-point mean module activity within tissue",0.0271452414708613,4,0,0,"annual_higher",4,1,0.0271452414708613,123
"anchor_257","HOG:0011942","root","mean_activity","equal-time-point mean module activity within tissue",0.026172934468601,4,0,0,"annual_higher",4,1,0.026172934468601,124
"anchor_31","HOG:0011086","root","mean_activity","equal-time-point mean module activity within tissue",0.0239184356860841,4,0,0,"annual_higher",4,1,0.0239184356860841,125
"anchor_143","HOG:0006346","root","mean_activity","equal-time-point mean module activity within tissue",0.0235565866714819,4,0,0,"annual_higher",4,1,0.0235565866714819,126
"anchor_114","HOG:0027098","root","mean_activity","equal-time-point mean module activity within tissue",0.0218961233449583,4,0,0,"annual_higher",4,1,0.0218961233449583,127
"anchor_326","HOG:0031982","root","mean_activity","equal-time-point mean module activity within tissue",-0.0207759044345441,0,4,0,"perennial_higher",4,1,0.0207759044345441,128
"anchor_68","HOG:0000537","root","mean_activity","equal-time-point mean module activity within tissue",0.0189578185896533,4,0,0,"annual_higher",4,1,0.0189578185896533,129
"anchor_197","HOG:0006052","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0179717824081935,4,0,0,"annual_higher",4,1,0.0179717824081935,130
"anchor_14","HOG:0012056","leaf","mean_activity","equal-time-point mean module activity within tissue",0.0167040200942224,4,0,0,"annual_higher",4,1,0.0167040200942224,131
"anchor_06","HOG:0028766","root","mean_activity","equal-time-point mean module activity within tissue",0.0155438535132843,4,0,0,"annual_higher",4,1,0.0155438535132843,132
"anchor_13","HOG:0006264","root","mean_activity","equal-time-point mean module activity within tissue",0.0117774267920158,4,0,0,"annual_higher",4,1,0.0117774267920158,133
"anchor_336","HOG:0032436","root","early_to_late","last minus first matched time-point module activity",0.970655111075177,3,1,0,"annual_higher",3,0.75,0.970655111075177,134
"anchor_192","HOG:0010481","root","early_to_late","last minus first matched time-point module activity",0.874081200412429,3,1,0,"annual_higher",3,0.75,0.874081200412429,135
"anchor_231","HOG:0023138","root","early_to_late","last minus first matched time-point module activity",0.782861896073803,3,1,0,"annual_higher",3,0.75,0.782861896073803,136
"anchor_323","HOG:0026451","leaf","early_to_late","last minus first matched time-point module activity",-0.767900019602784,1,3,0,"perennial_higher",3,0.75,0.767900019602784,137
"anchor_159","HOG:0028145","root","early_to_late","last minus first matched time-point module activity",0.752346239336452,3,1,0,"annual_higher",3,0.75,0.752346239336452,138
"anchor_162","HOG:0005857","root","early_to_late","last minus first matched time-point module activity",0.726531187608847,3,1,0,"annual_higher",3,0.75,0.726531187608847,139
"anchor_145","HOG:0026774","root","early_to_late","last minus first matched time-point module activity",0.725699518277633,3,1,0,"annual_higher",3,0.75,0.725699518277633,140
"anchor_186","HOG:0027918","root","early_to_late","last minus first matched time-point module activity",0.707659632288018,3,1,0,"annual_higher",3,0.75,0.707659632288018,141
"anchor_185","HOG:0005683","root","early_to_late","last minus first matched time-point module activity",0.707096096656195,3,1,0,"annual_higher",3,0.75,0.707096096656195,142
"anchor_309","HOG:0011540","root","early_to_late","last minus first matched time-point module activity",0.689359160354635,3,1,0,"annual_higher",3,0.75,0.689359160354635,143
"anchor_334","HOG:0023048","root","mean_activity","equal-time-point mean module activity within tissue",0.68118185883452,3,1,0,"annual_higher",3,0.75,0.68118185883452,144
"anchor_309","HOG:0011540","leaf","early_to_late","last minus first matched time-point module activity",0.663049271692047,3,1,0,"annual_higher",3,0.75,0.663049271692047,145
"anchor_325","HOG:0011775","root","early_to_late","last minus first matched time-point module activity",0.640660798665686,3,1,0,"annual_higher",3,0.75,0.640660798665686,146
"anchor_189","HOG:0027641","root","early_to_late","last minus first matched time-point module activity",0.629862692249454,3,1,0,"annual_higher",3,0.75,0.629862692249454,147
"anchor_336","HOG:0032436","leaf","early_to_late","last minus first matched time-point module activity",0.626170818257586,3,1,0,"annual_higher",3,0.75,0.626170818257586,148
"anchor_103","HOG:0011510","root","early_to_late","last minus first matched time-point module activity",0.622463295813737,3,1,0,"annual_higher",3,0.75,0.622463295813737,149
"anchor_120","HOG:0027421","root","early_to_late","last minus first matched time-point module activity",0.620968875176323,3,1,0,"annual_higher",3,0.75,0.620968875176323,150
"anchor_225","HOG:0032904","leaf","early_to_late","last minus first matched time-point module activity",0.617862294457147,3,1,0,"annual_higher",3,0.75,0.617862294457147,151
"anchor_226","HOG:0025149","leaf","early_to_late","last minus first matched time-point module activity",0.603307217042944,3,1,0,"annual_higher",3,0.75,0.603307217042944,152
"anchor_147","HOG:0032849","root","early_to_late","last minus first matched time-point module activity",0.591184728813215,3,1,0,"annual_higher",3,0.75,0.591184728813215,153
"anchor_285","HOG:0025342","leaf","early_to_late","last minus first matched time-point module activity",0.559300505497205,3,1,0,"annual_higher",3,0.75,0.559300505497205,154
"anchor_192","HOG:0010481","root","mean_activity","equal-time-point mean module activity within tissue",0.52279152557038,3,1,0,"annual_higher",3,0.75,0.52279152557038,155
"anchor_178","HOG:0010551","leaf","early_to_late","last minus first matched time-point module activity",0.490166245328437,3,1,0,"annual_higher",3,0.75,0.490166245328437,156
"anchor_207","HOG:0032903","leaf","early_to_late","last minus first matched time-point module activity",0.487956446890053,3,1,0,"annual_higher",3,0.75,0.487956446890053,157
"anchor_97","HOG:0011541","root","early_to_late","last minus first matched time-point module activity",0.487323662138682,3,1,0,"annual_higher",3,0.75,0.487323662138682,158
"anchor_306","HOG:0010549","root","early_to_late","last minus first matched time-point module activity",0.48686491381584,3,1,0,"annual_higher",3,0.75,0.48686491381584,159
"anchor_334","HOG:0023048","leaf","early_to_late","last minus first matched time-point module activity",0.484647951771661,3,1,0,"annual_higher",3,0.75,0.484647951771661,160
"anchor_219","HOG:0025848","root","early_to_late","last minus first matched time-point module activity",0.460762537512379,3,1,0,"annual_higher",3,0.75,0.460762537512379,161
"anchor_122","HOG:0012297","leaf","early_to_late","last minus first matched time-point module activity",0.44896812665329,3,1,0,"annual_higher",3,0.75,0.44896812665329,162
"anchor_336","HOG:0032436","root","mean_activity","equal-time-point mean module activity within tissue",0.445312579261496,3,1,0,"annual_higher",3,0.75,0.445312579261496,163
"anchor_170","HOG:0025923","root","early_to_late","last minus first matched time-point module activity",0.444131827321193,3,1,0,"annual_higher",3,0.75,0.444131827321193,164
"anchor_192","HOG:0010481","leaf","early_to_late","last minus first matched time-point module activity",0.435707738531117,3,1,0,"annual_higher",3,0.75,0.435707738531117,165
"anchor_335","HOG:0027282","leaf","early_to_late","last minus first matched time-point module activity",0.433220658412554,3,1,0,"annual_higher",3,0.75,0.433220658412554,166
"anchor_162","HOG:0005857","leaf","early_to_late","last minus first matched time-point module activity",0.427414331019906,3,1,0,"annual_higher",3,0.75,0.427414331019906,167
"anchor_228","HOG:0006131","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.42556616728706,1,3,0,"perennial_higher",3,0.75,0.42556616728706,168
"anchor_335","HOG:0027282","root","early_to_late","last minus first matched time-point module activity",0.421302407470419,3,1,0,"annual_higher",3,0.75,0.421302407470419,169
"anchor_318","HOG:0005960","root","early_to_late","last minus first matched time-point module activity",0.40740102727136,3,1,0,"annual_higher",3,0.75,0.40740102727136,170
"anchor_285","HOG:0025342","root","mean_activity","equal-time-point mean module activity within tissue",0.402897073988211,3,1,0,"annual_higher",3,0.75,0.402897073988211,171
"anchor_259","HOG:0026742","leaf","early_to_late","last minus first matched time-point module activity",0.402589320478204,3,1,0,"annual_higher",3,0.75,0.402589320478204,172
"anchor_231","HOG:0023138","root","mean_activity","equal-time-point mean module activity within tissue",0.392211621137602,3,1,0,"annual_higher",3,0.75,0.392211621137602,173
"anchor_237","HOG:0026838","root","early_to_late","last minus first matched time-point module activity",0.39105904392959,3,1,0,"annual_higher",3,0.75,0.39105904392959,174
"anchor_185","HOG:0005683","leaf","early_to_late","last minus first matched time-point module activity",0.385597837631163,3,1,0,"annual_higher",3,0.75,0.385597837631163,175
"anchor_271","HOG:0026340","leaf","early_to_late","last minus first matched time-point module activity",-0.374833107801781,1,3,0,"perennial_higher",3,0.75,0.374833107801781,176
"anchor_103","HOG:0011510","leaf","early_to_late","last minus first matched time-point module activity",0.374206353222559,3,1,0,"annual_higher",3,0.75,0.374206353222559,177
"anchor_282","HOG:0008732","leaf","mean_activity","equal-time-point mean module activity within tissue",-0.366771821858366,1,3,0,"perennial_higher",3,0.75,0.366771821858366,178
